Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
146,Mac Scarce*\scarcma01,23,PHI,1,2,.333,3.44,31,0,14,0,0,4,36.2,30,14,14,6,20,2,40,2,0,7,160,106,4.14,1.364,7.4,1.5,4.9,9.8,2.00
147,Mark Schaeffer*\schaema01,24,SDP,2,0,1.000,4.61,41,0,13,0,0,1,41.0,52,21,21,3,28,2,25,2,1,2,199,72,4.33,1.951,11.4,0.7,6.1,5.5,0.89
148,Ron Schueler\schuero01,24,ATL,5,8,.385,3.67,37,18,12,3,0,2,144.2,122,68,59,16,60,3,96,2,0,4,609,103,3.80,1.258,7.6,1.0,3.7,6.0,1.60
149,Tom Seaver\seaveto01,27,NYM,21,12,.636,2.92,35,35,0,13,3,0,262.0,215,92,85,23,77,2,249,5,0,8,1060,115,2.58,1.115,7.4,0.8,2.6,8.6,3.23
150,Diego Segui\seguidi01,34,STL,3,1,.750,3.07,33,0,21,0,0,9,55.2,47,23,19,2,32,10,54,0,1,5,244,112,2.65,1.419,7.6,0.3,5.2,8.7,1.69
151,Dick Selma\selmadi01,28,PHI,2,9,.182,5.56,46,10,25,1,0,3,98.2,91,67,61,13,73,9,58,5,0,6,459,65,5.31,1.662,8.3,1.2,6.7,5.3,0.79
152,Al Severinsen\several01,27,SDP,0,1,.000,2.53,17,0,9,0,0,1,21.1,13,8,6,1,7,1,9,2,0,1,85,133,3.43,0.938,5.5,0.4,3.0,3.8,1.29
153,Don Shaw*\shawdo01,28,STL,0,1,.000,9.00,8,0,1,0,0,0,3.0,5,3,3,1,3,0,0,0,0,0,16,44,9.73,2.667,15.0,3.0,9.0,0.0,0.00
154,Chris Short*\shortch02,34,PHI,1,1,.500,3.91,19,0,9,0,0,1,23.0,24,12,10,3,8,2,20,0,0,2,100,94,3.40,1.391,9.4,1.2,3.1,7.8,2.50
155,Steve Simpson\simpsst01,23,SDP,0,2,.000,4.76,9,0,4,0,0,2,11.1,10,6,6,0,8,1,9,0,0,0,51,72,2.93,1.588,7.9,0.0,6.4,7.1,1.13
