Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Matt Olson","ATL",162,724,29,98,95,1,0.125690607,0.243093922,0.211538461,0.332547169,0.272435897,0.366022099,0.483974358,0.3663292339799147,0.3707314754491375,136.0615266903134,-4.790764870122075,26.1532656616137,-4.206103324890137,4.710262064467422,"Matt Olson",14344,621566
"Alejandro Kirk","TOR",130,506,15,45,76,1,0.09486166,0.11660079,0.139689579,0.292428198,0.281596452,0.347826086,0.421286031,0.3344693310440533,0.36823489604365994,115.55087581177857,-5.860912507399917,3.4133192582396354,24.857967376708984,4.674253029297203,"Alejandro Kirk",22581,672386
"Ketel Marte","ARI",126,556,28,87,72,4,0.115107913,0.149280575,0.233333333,0.29032258,0.283333333,0.37589928,0.516666666,0.38054607012055136,0.4003584367515397,145.2872078795435,-3.3926189336925745,26.450522904507284,-0.015116095542907715,4.597524797616999,"Ketel Marte",13613,606466
"Nick Kurtz","ATH",117,489,36,90,86,2,0.128834355,0.308793456,0.328571429,0.364406779,0.29047619,0.383196721,0.619047619,0.41892504495443755,0.38173429631004646,170.30615312604996,-0.33357201516628265,40.186925561338015,-12.12365174293518,4.593109663251381,"Nick Kurtz",35110,701762
"Junior Caminero","TBR",154,653,45,93,110,7,0.062787136,0.191424196,0.270764119,0.259681093,0.264119601,0.310872894,0.53488372,0.356518121127702,0.35897503690236177,129.25356454772745,0.03152778930962086,22.54614401513883,-0.4289977550506592,4.562229486126728,"Junior Caminero",28163,691406
"Kyle Tucker","CHC",136,597,22,91,73,25,0.145728643,0.147403685,0.198,0.282442748,0.266,0.377104377,0.464,0.3629035417631497,0.38203053255097424,135.97800271715482,3.759760405868292,29.21666454372981,-5.080698490142822,4.501844032956653,"Kyle Tucker",18345,663656
"Brice Turang","MIL",156,659,18,97,81,24,0.100151745,0.227617602,0.147260274,0.356294536,0.287671232,0.359208523,0.434931506,0.34630487177793573,0.34247005550005966,123.56972992154685,2.6061466094106436,21.01531738190402,0.1484394073486328,4.40882323599625,"Brice Turang",22186,668930
"Jazz Chisholm Jr.","NYY",130,531,31,75,80,31,0.109227871,0.278719397,0.238095238,0.282229965,0.242424242,0.332075471,0.48051948,0.3490127379141593,0.35723403005888965,126.09384578932723,2.9426317662000656,19.27334630433324,5.300532937049866,4.383992938939373,"Jazz Chisholm Jr.",20454,665862
"Elly De La Cruz","CIN",162,699,22,102,86,37,0.095851216,0.258941344,0.176470589,0.337236533,0.263910969,0.336194563,0.440381558,0.3325369146115894,0.32981355047989447,108.50352613594754,9.365938464179635,16.41076708298317,2.727843761444092,4.337801853405038,"Elly De La Cruz",26668,682829
"Will Smith","LAD",110,436,17,64,61,2,0.14678899,0.20412844,0.201657459,0.344827586,0.29558011,0.403669724,0.497237569,0.3892415171382071,0.38579255904274423,152.73726379964666,-2.8969766180962324,24.35501761172782,1.6196469068527222,4.1418559195868,"Will Smith",19197,669257
"Wyatt Langford","TEX",134,573,22,73,62,22,0.129144851,0.263525305,0.190184049,0.29906542,0.241308793,0.343804537,0.431492842,0.3371595635748746,0.35257672761615955,118.20581472623358,1.552938673645258,13.848187311655842,6.1531758308410645,4.064059327883974,"Wyatt Langford",33333,694671
"Dillon Dingler","DET",126,469,13,54,57,0,0.049040511,0.234541577,0.147126437,0.345047923,0.278160919,0.326923076,0.425287356,0.3261193729009751,0.3597082375456847,108.94446170022889,-0.18251345492899418,4.761727484562549,18.764248371124268,4.05846253158458,"Dillon Dingler",27464,693307
"Andy Pages","LAD",156,624,27,74,86,14,0.046474358,0.216346153,0.189328744,0.308235294,0.271944922,0.3125,0.461273666,0.33191527751011723,0.3252459294170189,113.46694603698575,0.3859942778944969,10.34573230703044,8.520525187253952,4.0546059624713715,"Andy Pages",24816,681624
"Willy Adames","SFG",160,686,30,94,87,12,0.116618075,0.260932944,0.196277495,0.263427109,0.225042301,0.318248175,0.421319796,0.3207774200690787,0.33712310791015626,107.7213517013979,0.8595134355127811,7.137373864894004,9.570420265197754,4.044841554968089,"Willy Adames",15986,642715
